' Z80 opcodes and mnemonics list - Version 0.5
' Note: this list includes only documented z80 instructions
' Copyright Objectware Br 2017
' 
' References:
' [1] The Undocumented Z80:Documented - Version 0.91, 18th September 2005
' [2] http://www.z80.info/decoding.htm
' 

' Z80 Op codes and mnemonics table
00:NOP
01####:LD BC,####
02:LD (BC),A
03:INC BC
04:INC B
05:DEC B
06##:LD B,##
07:RLCA
08:EX AF,AF'
09:ADD HL,BC
0A:LD A,(BC)
0B:DEC BC
0C:INC C
0D:DEC C
0E##:LD C,##
0F:RRCA
10%%:DJNZ %%
11####:LD DE,####
12:LD (DE),A
13:INC DE
14:INC D
15:DEC D
16##:LD D,##
17:RLA
18%%:JR %%
19:ADD HL,DE
1A:LD A,(DE)
1B:DEC DE
1C:INC E
1D:DEC E
1E##:LD E,##
1F:RRA
20%%:JR NZ,%%
21####:LD HL,####
22####:LD (####),HL
23:INC HL
24:INC H
25:DEC H
26##:LD H,##
27:DAA
28%%:JR Z,%%
29:ADD HL,HL
2A####:LD HL,(####)
2B:DEC HL
2C:INC L
2D:DEC L
2E##:LD L,##
2F:CPL
30%%:JR NC,%%
31####:LD SP,####
32####:LD (####),A
33:INC SP
34:INC (HL)
35:DEC (HL)
36##:LD (HL),##
37:SCF
38%%:JR C,%%
39:ADD HL,SP
3A####:LD A,(####)
3B:DEC SP
3C:INC A
3D:DEC A
3E##:LD A,##
3F:CCF
40:LD B,B
41:LD B,C
42:LD B,D
43:LD B,E
44:LD B,H
45:LD B,L
46:LD B,(HL)
47:LD B,A
48:LD C,B
49:LD C,C
4A:LD C,D
4B:LD C,E
4C:LD C,H
4D:LD C,L
4E:LD C,(HL)
4F:LD C,A
50:LD D,B
51:LD D,C
52:LD D,D
53:LD D,E
54:LD D,H
55:LD D,L
56:LD D,(HL)
57:LD D,A
58:LD E,B
59:LD E,C
5A:LD E,D
5B:LD E,E
5C:LD E,H
5D:LD E,L
5E:LD E,(HL)
5F:LD E,A
60:LD H,B
61:LD H,C
62:LD H,D
63:LD H,E
64:LD H,H
65:LD H,L
66:LD H,(HL)
67:LD H,A
68:LD L,B
69:LD L,C
6A:LD L,D
6B:LD L,E
6C:LD L,H
6D:LD L,L
6E:LD L,(HL)
6F:LD L,A
70:LD (HL),B
71:LD (HL),C
